City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
517,Mardin,TR,73.51,clear sky,37.3131,40.7436,Reyhani Kasri Hotel
524,Madimba,TZ,72.73,overcast clouds,-10.4,40.3333,
534,Makat,KZ,76.23,overcast clouds,47.6469,53.3463,Umit
538,Montelibano,CO,75.38,broken clouds,7.9829,-75.4229,Montelíbano Plaza Hotel
540,Nieuw Amsterdam,SR,75.36,broken clouds,5.8833,-55.0833,Globe Hotel
547,Mbamba,NG,77.92,overcast clouds,9.9833,13.1,
549,Notse,TG,73.15,overcast clouds,6.95,1.1667,Le Berceau
552,Benguela,AO,73.27,broken clouds,-12.5763,13.4055,Hotel Praia Morena
559,Cap Malheureux,MU,79.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
565,Suez,EG,73.31,clear sky,29.9737,32.5263,Green House
571,Goderich,CA,75.2,scattered clouds,43.7501,-81.7165,Harmony Inn
576,Punta Cardon,VE,79.3,overcast clouds,11.6581,-70.215,Bambuda hotel
577,Bristol,US,74.57,mist,41.8334,-71.1662,
583,Volchansk,RU,76.08,few clouds,59.9378,60.081,U Mikhalycha
604,Raga,SS,73.87,overcast clouds,8.4596,25.678,
608,Marsh Harbour,BS,78.37,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
610,Vila Do Maio,CV,73.4,clear sky,15.1333,-23.2167,Hotel Marilu
622,Bardiyah,LY,72.14,clear sky,31.7561,25.0865,بورتو بردية
625,Berdsk,RU,72.0,clear sky,54.7551,83.0967,Mini-Hotel Kalinina 9A
632,Piacabucu,BR,74.57,few clouds,-10.4056,-36.4344,Piaçabuçu News
637,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
640,Saint Simons,US,78.84,few clouds,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
641,Kibala,TD,76.95,few clouds,9.1104,18.3463,hotel safari
642,Verkhnyaya Toyma,RU,76.37,broken clouds,62.2349,44.9985,Gostinitsa Sportivnaya
644,Iaciara,BR,72.03,overcast clouds,-14.0958,-46.6317,Hotel Matinha
645,Ciudad Bolivar,VE,74.75,overcast clouds,8.1222,-63.5497,Hotel Edi
656,Barranco,PA,75.02,broken clouds,9.5167,-82.7,Casa doña Delfina Jiménez
660,Laguna,US,78.64,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
663,Naze,JP,75.2,moderate rain,28.3667,129.4833,奄美ポートタワーホテル
665,Mahajanga,MG,78.8,clear sky,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
666,Mayumba,GA,75.85,overcast clouds,-3.432,10.6554,LIKWALE LODGE
668,Ayia Galini,GR,75.99,clear sky,35.1,24.6833,Sunningdale Bungalows
671,Antalaha,MG,77.74,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
675,Kuminskiy,RU,77.36,clear sky,58.6667,66.5667,
678,Lamu,KE,78.44,light rain,-2.2717,40.902,Lamu House
