City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
96,Mastic Beach,US,2021-06-06 06:22:31,40.7668,-72.8521,77.67,85,1,1.01,clear sky
97,Te Anau,NZ,2021-06-06 06:22:31,-45.4167,167.7167,42.19,92,13,2.3,few clouds
98,Tiksi,RU,2021-06-06 06:22:32,71.6872,128.8694,46.17,48,94,6.53,overcast clouds
99,Amli,IN,2021-06-06 06:22:32,20.2833,73.0167,84.58,68,98,6.87,overcast clouds
100,Dikson,RU,2021-06-06 06:22:32,73.5069,80.5464,30.83,97,100,11.36,light snow
101,Oshakati,NA,2021-06-06 06:22:33,-17.7833,15.6833,53.62,42,0,8.12,clear sky
102,Geraldton,AU,2021-06-06 06:22:33,-28.7667,114.6,72.01,40,0,12.35,clear sky
103,Beringovskiy,RU,2021-06-06 06:22:34,63.05,179.3167,39.2,87,65,3.96,broken clouds
104,Aswan,EG,2021-06-06 06:22:34,24.0934,32.907,84.07,23,5,17.58,clear sky
105,Pacific Grove,US,2021-06-06 06:22:34,36.6177,-121.9166,57.15,86,90,1.99,overcast clouds
106,Banda Aceh,ID,2021-06-06 06:22:35,5.5577,95.3222,86.07,67,82,14.0,broken clouds
107,Pisco,PE,2021-06-06 06:22:35,-13.7,-76.2167,64.45,82,90,3.44,overcast clouds
108,Clinton,US,2021-06-06 06:22:14,42.587,-82.9199,76.05,61,4,10.38,clear sky
109,Rawson,AR,2021-06-06 06:22:36,-43.3002,-65.1023,43.0,60,1,9.84,clear sky
110,Stykkisholmur,IS,2021-06-06 06:22:36,65.0757,-22.7297,46.27,96,100,6.17,overcast clouds
111,Mehamn,NO,2021-06-06 06:22:37,71.0357,27.8492,42.55,77,10,19.91,clear sky
112,Bajil,YE,2021-06-06 06:22:37,15.0584,43.2851,92.77,47,0,5.21,clear sky
113,Kaitangata,NZ,2021-06-06 06:22:37,-46.2817,169.8464,50.94,70,60,0.89,broken clouds
114,Bredasdorp,ZA,2021-06-06 06:22:38,-34.5322,20.0403,42.12,75,4,6.24,clear sky
115,Sola,VU,2021-06-06 06:22:38,-13.8833,167.55,81.27,78,40,0.0,scattered clouds
116,Caravelas,BR,2021-06-06 06:22:39,-17.7125,-39.2481,71.33,90,21,5.66,few clouds
117,Beira,MZ,2021-06-06 06:22:39,-19.8436,34.8389,62.6,88,75,11.5,broken clouds
118,Uddevalla,SE,2021-06-06 06:22:40,58.3478,11.9424,70.18,60,94,4.09,overcast clouds
119,Albany,US,2021-06-06 06:18:58,42.6001,-73.9662,70.21,77,46,3.91,scattered clouds
120,Nanortalik,GL,2021-06-06 06:22:40,60.1432,-45.2371,39.02,87,100,5.64,overcast clouds
121,Port Elizabeth,ZA,2021-06-06 06:22:41,-33.918,25.5701,55.69,54,0,8.05,clear sky
122,Hamilton,US,2021-06-06 06:17:53,39.1834,-84.5333,70.56,86,1,2.98,clear sky
123,Vozdvizhenka,RU,2021-06-06 06:22:41,43.9,131.95,73.15,55,46,4.79,scattered clouds
124,Kununurra,AU,2021-06-06 06:22:42,-15.7667,128.7333,84.18,23,64,8.05,broken clouds
125,Lorengau,PG,2021-06-06 06:22:44,-2.0226,147.2712,81.9,76,98,6.93,overcast clouds
126,Kenai,US,2021-06-06 06:22:44,60.5544,-151.2583,60.89,71,90,10.36,overcast clouds
127,Kloulklubed,PW,2021-06-06 06:22:45,7.0419,134.2556,86.5,78,84,7.2,broken clouds
128,Vila Velha,BR,2021-06-06 06:19:39,-20.3297,-40.2925,69.75,96,90,3.0,overcast clouds
129,Isla Mujeres,MX,2021-06-06 06:22:45,21.2311,-86.731,82.45,81,99,11.86,overcast clouds
130,Dindori,IN,2021-06-06 06:22:46,22.95,81.0833,92.46,36,35,14.5,scattered clouds
131,Ceres,US,2021-06-06 06:22:46,37.5949,-120.9577,77.58,49,1,5.75,clear sky
132,Leningradskiy,RU,2021-06-06 06:22:47,69.3833,178.4167,37.58,94,100,11.68,overcast clouds
133,Port Macquarie,AU,2021-06-06 06:19:58,-31.4333,152.9167,62.56,54,0,6.85,clear sky
134,Karaton,ID,2021-06-06 06:22:48,-6.3424,106.1045,87.96,62,40,3.98,scattered clouds
135,Wilmington Island,US,2021-06-06 06:19:33,32.0036,-80.9737,79.99,65,90,1.99,overcast clouds
136,Palmer,US,2021-06-06 06:22:48,42.1584,-72.3287,74.37,82,1,3.47,clear sky
137,Cockburn Town,TC,2021-06-06 06:18:32,21.4612,-71.1419,79.93,79,0,23.13,clear sky
138,Abonnema,NG,2021-06-06 06:22:49,4.7084,6.7931,74.48,95,91,1.72,moderate rain
139,Hobart,AU,2021-06-06 06:22:49,-42.8794,147.3294,52.27,75,75,1.01,light rain
140,Sao Joao Da Barra,BR,2021-06-06 06:22:50,-21.6403,-41.0511,71.13,89,0,9.26,clear sky
141,Ponta Do Sol,PT,2021-06-06 06:22:51,32.6667,-17.1,66.83,71,54,5.97,broken clouds
142,Broome,US,2021-06-06 06:22:51,42.2506,-75.833,69.66,76,74,4.21,broken clouds
143,Tuatapere,NZ,2021-06-06 06:22:52,-46.1333,167.6833,49.82,88,48,3.4,scattered clouds
144,Waipawa,NZ,2021-06-06 06:22:52,-41.4122,175.5153,59.0,77,75,2.3,broken clouds
145,Naryan-Mar,RU,2021-06-06 06:22:53,67.6713,53.087,43.68,47,64,15.52,broken clouds
146,Gat,IL,2021-06-06 06:22:54,31.61,34.7642,77.4,53,0,4.65,clear sky
147,Hilo,US,2021-06-06 06:22:54,19.7297,-155.09,75.2,69,1,4.61,clear sky
148,Dongtai,CN,2021-06-06 06:22:55,32.8523,120.3095,96.46,21,3,9.8,clear sky
149,Khor,RU,2021-06-06 06:22:56,47.8861,134.9464,63.05,59,94,7.72,overcast clouds
150,Nikolskoye,RU,2021-06-06 06:22:57,59.7035,30.7861,71.6,53,0,6.71,clear sky
151,Pingliang,CN,2021-06-06 06:22:57,35.5392,106.6861,86.36,22,100,1.5,overcast clouds
152,Shelburne,CA,2021-06-06 06:22:58,44.0787,-80.2041,73.89,55,67,15.79,broken clouds
153,Faya,SA,2021-06-06 06:22:58,18.3851,42.4509,80.71,25,0,4.29,clear sky
154,Sabzevar,IR,2021-06-06 06:22:59,36.2126,57.6819,93.2,26,0,9.22,clear sky
155,Puerto Ayora,EC,2021-06-06 06:23:00,-0.7393,-90.3518,72.55,93,19,1.99,few clouds
156,Byumba,RW,2021-06-06 06:23:00,-1.5763,30.0675,59.2,85,98,4.07,overcast clouds
157,Ulaangom,MN,2021-06-06 06:23:01,49.9811,92.0667,58.64,23,81,18.52,broken clouds
158,Kodiak,US,2021-06-06 06:22:26,57.79,-152.4072,56.71,47,1,17.27,clear sky
159,Khatanga,RU,2021-06-06 06:23:01,71.9667,102.5,38.68,66,100,10.76,light rain
160,Yar-Sale,RU,2021-06-06 06:23:02,66.8333,70.8333,44.55,48,98,17.78,light rain
161,Babushkin,RU,2021-06-06 06:23:02,51.7122,105.8647,42.06,97,100,24.9,light rain
162,Portland,US,2021-06-06 06:21:47,45.5234,-122.6762,53.56,77,20,5.75,few clouds
163,Pangnirtung,CA,2021-06-06 06:23:03,66.1451,-65.7125,23.81,92,64,5.64,broken clouds
164,Kosh-Agach,RU,2021-06-06 06:23:04,50.0,88.6667,50.38,26,34,7.92,scattered clouds
165,Leshukonskoye,RU,2021-06-06 06:23:04,64.8989,45.7622,56.43,38,86,7.25,overcast clouds
166,Lagos,NG,2021-06-06 06:21:40,6.5833,3.75,77.32,94,73,1.7,broken clouds
167,Marion,US,2021-06-06 06:20:29,39.7684,-86.1555,70.0,87,20,4.45,few clouds
168,Chernyshevskiy,RU,2021-06-06 06:23:06,63.0128,112.4714,59.95,23,45,6.98,scattered clouds
169,Odda,NO,2021-06-06 06:23:07,60.0691,6.5457,57.99,93,100,1.74,overcast clouds
170,Maningrida,AU,2021-06-06 06:23:07,-12.0667,134.2667,83.03,54,33,10.96,scattered clouds
171,Iqaluit,CA,2021-06-06 06:23:08,63.7506,-68.5145,31.73,93,90,1.99,light snow
172,Bubaque,GW,2021-06-06 06:23:08,11.2833,-15.8333,79.47,84,97,10.42,overcast clouds
173,Moroni,KM,2021-06-06 06:23:09,-11.7022,43.2551,78.15,76,72,18.79,light rain
174,Bagado,CO,2021-06-06 06:23:09,5.4116,-76.4152,75.09,97,100,0.98,overcast clouds
175,Tucuma,BR,2021-06-06 06:19:14,-0.1833,-50.05,75.13,93,48,3.94,scattered clouds
176,Rock Springs,US,2021-06-06 06:23:10,41.5875,-109.2029,67.44,32,1,6.82,clear sky
177,Koulikoro,ML,2021-06-06 06:23:11,14.0,-7.75,86.29,36,32,14.72,scattered clouds
178,Mercedes,AR,2021-06-06 06:23:11,-34.6515,-59.4307,45.84,63,34,5.97,scattered clouds
179,Cidreira,BR,2021-06-06 06:23:12,-30.1811,-50.2056,62.87,95,100,5.26,heavy intensity rain
180,Coihaique,CL,2021-06-06 06:23:12,-45.5752,-72.0662,39.15,75,40,5.75,scattered clouds
181,Alindao,CF,2021-06-06 06:23:13,5.0267,21.2088,69.58,98,100,2.93,light rain
182,Gamboma,CG,2021-06-06 06:23:13,-1.8764,15.8644,73.92,85,97,3.62,overcast clouds
183,Puerto Escondido,MX,2021-06-06 06:23:14,15.85,-97.0667,82.4,80,100,4.94,overcast clouds
184,Chishtian Mandi,PK,2021-06-06 06:23:14,29.8,72.8667,101.84,26,0,5.82,clear sky
185,Payo,ID,2021-06-06 06:23:14,-3.7508,103.6372,93.11,47,19,2.26,few clouds
186,Barrow,US,2021-06-06 06:23:15,71.2906,-156.7887,33.82,86,90,12.66,fog
187,Jambi,ID,2021-06-06 06:23:15,-1.6,103.6167,92.03,48,64,3.83,broken clouds
188,Cabo San Lucas,MX,2021-06-06 06:19:51,22.8909,-109.9124,84.4,57,2,11.25,clear sky
189,Asau,RO,2021-06-06 06:23:16,46.4333,26.4,64.76,74,56,1.12,broken clouds
190,Yeppoon,AU,2021-06-06 06:23:17,-23.1333,150.7333,74.98,61,8,8.05,clear sky
191,Talnakh,RU,2021-06-06 06:23:17,69.4865,88.3972,33.04,95,100,5.61,light snow
192,Cape Town,ZA,2021-06-06 06:20:28,-33.9258,18.4232,61.21,29,0,8.43,clear sky
193,Yarmouth,US,2021-06-06 06:23:18,41.7057,-70.2286,72.0,78,1,9.22,clear sky
194,Zhanaozen,KZ,2021-06-06 06:23:19,43.3,52.8,78.28,42,12,17.29,few clouds
195,Nagua,DO,2021-06-06 06:23:09,19.3832,-69.8474,74.44,88,14,7.18,few clouds
196,Tiarei,PF,2021-06-06 06:23:19,-17.5333,-149.3333,78.82,80,14,12.15,few clouds
197,Lebu,CL,2021-06-06 06:23:20,-37.6167,-73.65,47.84,78,95,10.16,overcast clouds
198,Dwarka,IN,2021-06-06 06:23:21,22.2394,68.9678,88.65,59,26,12.64,scattered clouds
199,Tarnow,PL,2021-06-06 06:23:21,50.0138,20.987,64.09,83,0,2.39,clear sky
200,Boyolangu,ID,2021-06-06 06:23:22,-8.1181,111.8935,85.23,67,22,7.27,few clouds
201,Saint Anthony,US,2021-06-06 06:23:22,45.0205,-93.218,86.02,46,1,1.99,clear sky
202,Puerto Del Rosario,ES,2021-06-06 06:23:23,28.5004,-13.8627,64.4,72,20,11.5,few clouds
203,Hof,DE,2021-06-06 06:23:24,50.3167,11.9167,62.01,10,100,4.0,overcast clouds
204,Bud,US,2021-06-06 06:23:24,39.447,-86.1758,69.15,90,32,5.12,scattered clouds
205,Biltine,TD,2021-06-06 06:23:24,14.5333,20.9167,83.03,51,95,13.15,overcast clouds
206,Loandjili,CG,2021-06-06 06:23:25,-4.7561,11.8578,77.11,94,75,5.75,broken clouds
207,San Angelo,US,2021-06-06 06:23:25,31.4638,-100.437,73.62,79,1,1.99,clear sky
208,Cherskiy,RU,2021-06-06 06:23:26,68.75,161.3,70.9,28,22,19.57,few clouds
209,Adre,TD,2021-06-06 06:23:26,13.4667,22.2,77.58,56,68,5.08,broken clouds
210,Port Alfred,ZA,2021-06-06 06:23:26,-33.5906,26.891,58.21,40,0,9.31,clear sky
211,Port Hardy,CA,2021-06-06 06:23:27,50.6996,-127.4199,48.2,87,90,4.61,light rain
212,La Ronge,CA,2021-06-06 06:23:28,55.1001,-105.2842,59.0,77,94,3.44,overcast clouds
213,Copiapo,CL,2021-06-06 06:23:28,-27.3667,-70.3333,53.29,86,1,0.67,clear sky
214,Kavieng,PG,2021-06-06 06:23:29,-2.5744,150.7967,81.64,77,100,4.83,light rain
215,Fortuna,US,2021-06-06 06:23:29,40.5982,-124.1573,52.93,68,90,1.01,overcast clouds
216,Luderitz,NA,2021-06-06 06:23:30,-26.6481,15.1594,68.94,33,0,27.02,clear sky
217,Setermoen,NO,2021-06-06 06:23:30,68.861,18.3486,56.43,55,36,3.44,scattered clouds
218,Natal,BR,2021-06-06 06:23:31,-5.795,-35.2094,75.42,83,40,8.66,scattered clouds
219,Columbia,US,2021-06-06 06:23:31,34.0007,-81.0348,73.04,92,40,1.01,scattered clouds
220,Jesus Maria,AR,2021-06-06 06:23:32,-30.9815,-64.0942,47.12,68,12,4.56,few clouds
221,Bambous Virieux,MU,2021-06-06 06:23:33,-20.3428,57.7575,79.0,69,75,8.05,broken clouds
222,Mackay,AU,2021-06-06 06:21:51,-21.15,149.2,71.69,64,84,13.8,broken clouds
223,Moranbah,AU,2021-06-06 06:23:34,-22.0016,148.0466,71.26,26,34,13.0,scattered clouds
224,Boa Vista,BR,2021-06-06 06:23:34,2.8197,-60.6733,76.98,88,75,4.61,broken clouds
